date,avg_temp,min_temp,max_temp,avg_relative_humidity
2020-01-20,3.4749999999999996,0.03124999999999989,7.71875,53.275
2020-01-21,1.8937499999999998,-2.925,7.4437500000000005,47.96249999999999
2020-01-22,4.48125,1.6749999999999998,6.887500000000001,67.6375
2020-01-23,6.312500000000001,3.4312500000000004,10.643750000000002,77.18124999999999
2020-01-24,5.624999999999999,1.63125,10.649999999999999,70.7
2020-01-25,6.0874999999999995,3.1187500000000004,9.862499999999997,74.58124999999998
2020-01-26,7.05,2.6499999999999995,11.1625,69.38749999999999
2020-01-27,6.4375,4.612499999999999,8.70625,77.3
2020-01-28,7.374999999999999,4.762499999999999,10.64375,71.1125
2020-01-29,6.625,3.85625,10.21875,68.01875
2020-01-30,5.38125,2.46875,9.69375,67.10625
2020-01-31,4.0375000000000005,0.9999999999999999,8.36875,68.825
2020-02-01,3.66875,-0.6,8.575,67.02499999999999
2020-02-02,3.5812500000000003,-0.45624999999999993,8.51875,61.29999999999999
2020-02-03,2.45625,-0.8562499999999998,6.300000000000001,52.225
2020-02-04,1.5812499999999998,-3.6687499999999993,6.93125,51.449999999999996
2020-02-05,-2.75,-5.999999999999999,1.48125,41.3375
2020-02-06,-2.9062500000000004,-7.999999999999999,2.50625,45.63749999999999
2020-02-07,1.1124999999999998,-3.9562500000000007,5.98125,50.349999999999994
2020-02-08,2.2562499999999996,-0.70625,6.44375,52.84374999999999
2020-02-09,1.6062499999999997,-3.3249999999999997,6.900000000000001,52.66875
2020-02-10,5.031250000000001,0.08749999999999997,11.36875,55.9875
2020-02-11,7.281250000000001,-0.03125,14.275000000000002,54.481249999999996
2020-02-12,8.918750000000001,6.75625,10.899999999999999,87.525
2020-02-13,9.006250000000001,5.912499999999999,12.8625,82.225
2020-02-14,9.450000000000001,5.343749999999999,15.91875,74.60624999999999
2020-02-15,10.66875,5.8500000000000005,16.506249999999998,75.89375
2020-02-16,2.475,-1.35,8.8875,76.6125
2020-02-17,-2.3125000000000004,-4.425000000000001,0.25,63.474999999999994
2020-02-18,-0.775,-5.61875,4.58125,50.96249999999999
2020-02-19,3.425,-2.1937499999999996,9.537499999999998,56.425
