Date;Confirmed;Deaths;Recovered;start_date;NewCases;lockdown_severity;lockdown_severity;maximum_together;mentality_grade;government_performance;kindergarten_closed;Highschool closed;University_closed;Grocery_max_in_store;Cinemas closed;restaurants_closed_to_everyone;first_school_closure;Month;Spring holiday;Passenger transport inc transit;Transit direct;Passengers scheduled;Passengers non scheduled;Passengers Europe;Passengers intercontinental;Passengers O&D;Passengers Transfer;Air transport movements;Air transport movements Europe;Air transport movements intercontinental;Cargo;Cargo Europe;Cargo North America;Cargo Latin America;Cargo Middle East;Cargo Far East;Travel advice Italy updated;Second confirmed case;Third Confirmed case;Larger events banned;Events more than 100 banned;Flights cancelled ch, it, ir, s.kor;Restaurants closed;Stricter social distance rules;Decline in patients;Contact professions closed;Work from home;maximum_together_sports;Borders closed third countries;DDVEC_S;FHVEC_S;FG_S;FHX_S;FHXH_S;FHN_S;FHNH_S;FXX_S;FXXH_S;TG_S;TN_S;TNH_S;TX_S;TXH_S;T10N_S;T10NH_S;SQ_S;SP_S;Q_S;DR_S;RH_S;RHX_S;RHXH_S;PG_S;PX_S;PXH_S;PN_S;PNH_S;VVN_S;VVNH_S;VVX_S;VVXH_S;NG_S;UG_S;UX_S;UXH_S;UN_S;UNH_S;EV24_S;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24;Population;Children born;Deats total;Immigration;Emmigration
2020-02-01;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;240.0;98.0;100.0;120.0;22.0;80.0;3.0;180.0;13.0;104.0;88.0;20.0;120.0;4.0;78.0;24.0;36.0;40.0;389.0;24.0;15.0;7.0;1.0;10029.0;10079.0;24.0;10002.0;9.0;33.0;4.0;70.0;8.0;6.0;80.0;95.0;1.0;66.0;20.0;6.0;239.0;63.0;65.0;80.0;13.0;50.0;19.0;160.0;14.0;106.0;86.0;19.0;120.0;5.0;76.0;24.0;19.0;21.0;285.0;5.0;2.0;2.0;4.0;10036.0;10086.0;24.0;10011.0;7.0;50.0;1.0;70.0;2.0;7.0;79.0;92.0;6.0;62.0;15.0;4.0;17414806;12866;12872;21320;12140
2020-02-02;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;242.0;58.0;70.0;110.0;15.0;30.0;8.0;170.0;14.0;88.0;66.0;9.0;106.0;23.0;65.0;12.0;0.0;0.0;133.0;62.0;62.0;19.0;9.0;10067.0;10090.0;2.0;10029.0;12.0;31.0;12.0;70.0;14.0;8.0;88.0;97.0;9.0;76.0;1.0;2.0;230.0;39.0;46.0;70.0;15.0;20.0;9.0;150.0;15.0;89.0;65.0;8.0;115.0;16.0;63.0;12.0;0.0;0.0;115.0;62.0;70.0;22.0;9.0;10072.0;10095.0;3.0;10032.0;12.0;28.0;13.0;70.0;14.0;8.0;86.0;98.0;13.0;71.0;1.0;2.0;17414806;12866;12872;21320;12140
2020-02-03;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;255.0;78.0;82.0;110.0;1.0;40.0;21.0;170.0;2.0;90.0;63.0;24.0;107.0;13.0;51.0;24.0;31.0;34.0;417.0;8.0;3.0;3.0;19.0;10095.0;10124.0;12.0;10067.0;22.0;57.0;2.0;75.0;22.0;7.0;81.0;91.0;21.0;71.0;23.0;6.0;253.0;47.0;48.0;70.0;12.0;20.0;21.0;140.0;13.0;92.0;64.0;20.0;110.0;12.0;52.0;24.0;12.0;13.0;322.0;17.0;23.0;22.0;20.0;10099.0;10127.0;12.0;10066.0;23.0;57.0;1.0;75.0;24.0;7.0;79.0;92.0;22.0;66.0;13.0;5.0;17414806;12866;12872;21320;12140
2020-02-04;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;294.0;70.0;74.0;110.0;4.0;30.0;17.0;180.0;11.0;54.0;20.0;24.0;81.0;16.0;-11.0;24.0;24.0;26.0;313.0;23.0;27.0;11.0;14.0;10158.0;10297.0;24.0;10071.0;1.0;43.0;14.0;75.0;4.0;5.0;84.0;97.0;19.0;70.0;1.0;4.0;289.0;34.0;38.0;60.0;6.0;20.0;17.0;130.0;6.0;51.0;12.0;22.0;73.0;16.0;-15.0;24.0;19.0;21.0;290.0;35.0;64.0;26.0;15.0;10159.0;10295.0;24.0;10072.0;1.0;20.0;19.0;74.0;4.0;5.0;84.0;98.0;22.0;70.0;5.0;4.0;17414806;12866;12872;21320;12140
2020-02-05;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;269.0;22.0;26.0;50.0;15.0;10.0;5.0;70.0;15.0;48.0;-3.0;7.0;82.0;14.0;-34.0;12.0;56.0;60.0;573.0;0.0;0.0;0.0;1.0;10348.0;10367.0;11.0;10307.0;1.0;64.0;1.0;75.0;18.0;6.0;82.0;97.0;8.0;68.0;13.0;7.0;274.0;13.0;18.0;30.0;14.0;10.0;5.0;60.0;14.0;48.0;-2.0;8.0;84.0;15.0;-27.0;12.0;56.0;60.0;607.0;0.0;0.0;0.0;1.0;10349.0;10371.0;11.0;10304.0;1.0;4.0;5.0;77.0;13.0;7.0;82.0;98.0;1.0;63.0;13.0;8.0;17414806;12866;12872;21320;12140
2020-02-06;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;256.0;20.0;26.0;40.0;3.0;0.0;20.0;70.0;12.0;53.0;12.0;2.0;92.0;13.0;-18.0;24.0;54.0;58.0;543.0;0.0;0.0;0.0;1.0;10315.0;10335.0;1.0;10301.0;24.0;56.0;5.0;69.0;15.0;5.0;86.0;96.0;2.0;71.0;12.0;7.0;247.0;11.0;15.0;30.0;12.0;0.0;19.0;50.0;12.0;50.0;20.0;3.0;96.0;15.0;-20.0;6.0;54.0;58.0;540.0;0.0;0.0;0.0;1.0;10316.0;10338.0;1.0;10302.0;24.0;31.0;5.0;70.0;14.0;6.0;87.0;98.0;3.0;65.0;14.0;7.0;17414806;12866;12872;21320;12140
2020-02-07;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;137.0;45.0;46.0;70.0;23.0;20.0;1.0;100.0;24.0;43.0;0.0;6.0;78.0;15.0;-22.0;6.0;82.0;87.0;735.0;0.0;0.0;0.0;1.0;10242.0;10297.0;1.0;10187.0;24.0;50.0;5.0;74.0;16.0;2.0;78.0;97.0;5.0;63.0;14.0;9.0;139.0;37.0;38.0;60.0;11.0;10.0;1.0;90.0;10.0;39.0;-9.0;5.0;78.0;15.0;-35.0;6.0;83.0;88.0;764.0;0.0;0.0;0.0;1.0;10246.0;10298.0;1.0;10194.0;24.0;3.0;3.0;76.0;16.0;1.0;78.0;98.0;2.0;61.0;15.0;9.0;17414806;12866;12872;21320;12140
2020-02-08;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;186.0;48.0;52.0;60.0;1.0;40.0;8.0;100.0;24.0;67.0;36.0;2.0;93.0;12.0;28.0;6.0;2.0;2.0;176.0;33.0;7.0;3.0;13.0;10172.0;10183.0;1.0;10152.0;24.0;30.0;13.0;75.0;1.0;6.0;86.0;97.0;13.0;71.0;1.0;2.0;186.0;36.0;39.0;50.0;13.0;30.0;8.0;100.0;24.0;70.0;30.0;2.0;99.0;13.0;20.0;6.0;3.0;3.0;163.0;28.0;9.0;4.0;15.0;10179.0;10191.0;1.0;10161.0;24.0;36.0;14.0;74.0;3.0;8.0;85.0;94.0;14.0;72.0;2.0;2.0;17414806;12866;12872;21320;12140
2020-02-09;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;209.0;139.0;145.0;190.0;16.0;90.0;1.0;310.0;16.0;95.0;76.0;1.0;117.0;20.0;69.0;6.0;0.0;0.0;108.0;43.0;107.0;47.0;20.0;9969.0;10143.0;1.0;9840.0;22.0;42.0;17.0;75.0;5.0;8.0;82.0;97.0;19.0;73.0;9.0;2.0;206.0;94.0;98.0;140.0;17.0;50.0;2.0;250.0;18.0;100.0;77.0;4.0;125.0;16.0;70.0;6.0;0.0;0.0;140.0;47.0;186.0;148.0;21.0;9984.0;10152.0;1.0;9850.0;22.0;50.0;17.0;80.0;10.0;8.0;79.0;90.0;1.0;69.0;10.0;2.0;17414806;12866;12872;21320;12140
2020-02-10;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;200.0;0.0;4719956.0;187.0;4701062.0;18707.0;3329009.0;1390760.0;3011143.0;1708626.0;34992.0;28414.0;6578.0;116293.0;5521.0;8694.0;10539.0;7278.0;16860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;253.0;127.0;132.0;160.0;9.0;80.0;21.0;250.0;5.0;76.0;43.0;21.0;99.0;1.0;33.0;24.0;26.0;27.0;444.0;19.0;30.0;15.0;5.0;9925.0;9977.0;12.0;9855.0;1.0;58.0;3.0;75.0;21.0;8.0;72.0;87.0;20.0;60.0;13.0;6.0;251.0;83.0;86.0;100.0;1.0;50.0;22.0;220.0;20.0;80.0;48.0;24.0;106.0;1.0;42.0;24.0;20.0;21.0;359.0;21.0;28.0;11.0;6.0;9934.0;9987.0;12.0;9867.0;1.0;57.0;5.0;78.0;23.0;8.0;69.0;81.0;6.0;55.0;13.0;5.0;17414806;12866;12872;21320;12140
