date,confirmed,recoverd,death,avg_temp,min_temp,max_temp,avg_relative_humidity
2020-01-20,1,0,0,3.4749999999999996,0.03124999999999989,7.71875,53.275
2020-01-21,1,0,0,1.8937499999999998,-2.925,7.4437500000000005,47.96249999999999
2020-01-22,1,0,0,4.48125,1.6749999999999998,6.887500000000001,67.6375
2020-01-23,1,0,0,6.312500000000001,3.4312500000000004,10.643750000000002,77.18124999999999
2020-01-24,2,0,0,5.624999999999999,1.63125,10.649999999999999,70.7
2020-01-25,2,0,0,6.0874999999999995,3.1187500000000004,9.862499999999997,74.58124999999998
2020-01-26,3,0,0,7.05,2.6499999999999995,11.1625,69.38749999999999
2020-01-27,4,0,0,6.4375,4.612499999999999,8.70625,77.3
2020-01-28,4,0,0,7.374999999999999,4.762499999999999,10.64375,71.1125
2020-01-29,4,0,0,6.625,3.85625,10.21875,68.01875
2020-01-30,6,0,0,5.38125,2.46875,9.69375,67.10625
2020-01-31,11,0,0,4.0375000000000005,0.9999999999999999,8.36875,68.825
2020-02-01,12,0,0,3.66875,-0.6,8.575,67.02499999999999
2020-02-02,15,0,0,3.5812500000000003,-0.45624999999999993,8.51875,61.29999999999999
2020-02-03,15,0,0,2.45625,-0.8562499999999998,6.300000000000001,52.225
2020-02-04,16,0,0,1.5812499999999998,-3.6687499999999993,6.93125,51.449999999999996
2020-02-05,18,1,0,-2.75,-5.999999999999999,1.48125,41.3375
2020-02-06,23,2,0,-2.9062500000000004,-7.999999999999999,2.50625,45.63749999999999
2020-02-07,24,2,0,1.1124999999999998,-3.9562500000000007,5.98125,50.349999999999994
2020-02-08,24,2,0,2.2562499999999996,-0.70625,6.44375,52.84374999999999
2020-02-09,27,3,0,1.6062499999999997,-3.3249999999999997,6.900000000000001,52.66875
2020-02-10,27,4,0,5.031250000000001,0.08749999999999997,11.36875,55.9875
2020-02-11,28,4,0,7.281250000000001,-0.03125,14.275000000000002,54.481249999999996
2020-02-12,28,7,0,8.918750000000001,6.75625,10.899999999999999,87.525
2020-02-13,28,7,0,9.006250000000001,5.912499999999999,12.8625,82.225
2020-02-14,28,7,0,9.450000000000001,5.343749999999999,15.91875,74.60624999999999
2020-02-15,28,9,0,10.66875,5.8500000000000005,16.506249999999998,75.89375
2020-02-16,29,9,0,2.475,-1.35,8.8875,76.6125
2020-02-17,30,10,0,-2.3125000000000004,-4.425000000000001,0.25,63.474999999999994
2020-02-18,31,12,0,-0.775,-5.61875,4.58125,50.96249999999999
2020-02-19,51,16,0,3.425,-2.1937499999999996,9.537499999999998,56.425
2020-02-20,104,16,1,6.231249999999999,1.2874999999999999,12.56875,61.443749999999994
2020-02-21,204,17,2,8.331249999999999,2.0062499999999996,14.493749999999999,66.175
2020-02-22,433,18,2,6.95625,2.7750000000000004,10.73125,56.4375
2020-02-23,602,18,6,4.3625,-0.5125,9.949999999999998,49.86874999999999
2020-02-24,833,24,8,8.44375,1.125,15.031250000000004,52.137499999999996
2020-02-25,977,24,12,8.393749999999999,6.518750000000001,11.181250000000002,89.61875
2020-02-26,1261,24,12,7.58125,4.1125,12.018749999999999,78.7625
2020-02-27,1766,26,13,6.118750000000001,2.3499999999999996,10.8125,68.60624999999999
2020-02-28,2337,27,13,5.500000000000001,3.08125,7.68125,82.23124999999999
2020-02-29,3150,28,17,7.675,4.04375,12.225,79.58124999999998
2020-03-01,3736,30,18,7.575,3.7812500000000004,11.787500000000001,78.60625
2020-03-02,4212,31,22,5.749999999999999,2.7687500000000003,10.018749999999999,57.84374999999999
2020-03-03,4812,34,28,6.81875,1.9624999999999997,12.274999999999997,68.78749999999998
2020-03-04,5328,41,32,4.84375,0.7125,8.95,54.30625
2020-03-05,5766,88,35,3.03125,-1.175,8.625,51.349999999999994
2020-03-06,6284,108,42,5.068750000000001,-1.64375,11.89375,51.199999999999996
2020-03-07,6767,118,44,6.556249999999999,2.36875,11.3,68.50625
2020-03-08,7134,130,50,8.74375,2.3062499999999995,16.25625,66.83125
2020-03-09,7382,166,51,9.8125,3.925,15.0875,71.91875
2020-03-10,7513,247,54,7.812499999999999,4.987500000000001,10.31875,84.725
2020-03-11,7755,288,60,5.525,1.6875000000000002,10.075,45.84375
2020-03-12,7869,333,66,7.7875000000000005,0.71875,14.906249999999998,48.65625
2020-03-13,7979,510,67,7.875000000000001,2.95,13.212500000000002,49.6125
