Date,Confirmed,Recovered,Deaths,NewCases,lockdown_severity,maximum_together,mentality_grade,government_performance,kindergarten_closed,Highschool closed,restaurants_closed_to_everyone,Month,Spring holiday,Passenger transport inc transit,Transit direct,Cargo,Cargo Europe,Cargo Far East,Travel advice Italy updated,Second confirmed case,Third Confirmed case,Stricter social distance rules,Decline in patients,Contact professions closed,DDVEC_S,FHVEC_S,FHXH_S,FHN_S,FHNH_S,FXXH_S,TG_S,TN_S,TNH_S,TXH_S,T10NH_S,SQ_S,DR_S,RH_S,RHXH_S,PG_S,PXH_S,PNH_S,VVN_S,VVNH_S,VVX_S,VVXH_S,NG_S,UG_S,UX_S,UXH_S,UNH_S,FHXH,FHNH,FXXH,TNH,TXH,T10NH,RHX,RHXH,VVN,VVNH,VVXH,UX,UXH,UNH,Population,Children born,Deats total,Immigration,Emmigration
2020-02-01,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,98.0,22.0,80.0,3.0,13.0,104.0,88.0,20.0,4.0,24.0,36.0,24.0,15.0,1.0,10029.0,24.0,9.0,33.0,4.0,70.0,8.0,6.0,80.0,95.0,1.0,20.0,13.0,19.0,14.0,19.0,5.0,24.0,2.0,4.0,50.0,1.0,2.0,92.0,6.0,15.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,58.0,15.0,30.0,8.0,14.0,88.0,66.0,9.0,23.0,12.0,0.0,62.0,62.0,9.0,10067.0,2.0,12.0,31.0,12.0,70.0,14.0,8.0,88.0,97.0,9.0,1.0,15.0,9.0,15.0,8.0,16.0,12.0,22.0,9.0,28.0,13.0,14.0,98.0,13.0,1.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,78.0,1.0,40.0,21.0,2.0,90.0,63.0,24.0,13.0,24.0,31.0,8.0,3.0,19.0,10095.0,12.0,22.0,57.0,2.0,75.0,22.0,7.0,81.0,91.0,21.0,23.0,12.0,21.0,13.0,20.0,12.0,24.0,22.0,20.0,57.0,1.0,24.0,92.0,22.0,13.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,70.0,4.0,30.0,17.0,11.0,54.0,20.0,24.0,16.0,24.0,24.0,23.0,27.0,14.0,10158.0,24.0,1.0,43.0,14.0,75.0,4.0,5.0,84.0,97.0,19.0,1.0,6.0,17.0,6.0,22.0,16.0,24.0,26.0,15.0,20.0,19.0,4.0,98.0,22.0,5.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,22.0,15.0,10.0,5.0,15.0,48.0,-3.0,7.0,14.0,12.0,56.0,0.0,0.0,1.0,10348.0,11.0,1.0,64.0,1.0,75.0,18.0,6.0,82.0,97.0,8.0,13.0,14.0,5.0,14.0,8.0,15.0,12.0,0.0,1.0,4.0,5.0,13.0,98.0,1.0,13.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,20.0,3.0,0.0,20.0,12.0,53.0,12.0,2.0,13.0,24.0,54.0,0.0,0.0,1.0,10315.0,1.0,24.0,56.0,5.0,69.0,15.0,5.0,86.0,96.0,2.0,12.0,12.0,19.0,12.0,3.0,15.0,6.0,0.0,1.0,31.0,5.0,14.0,98.0,3.0,14.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,45.0,23.0,20.0,1.0,24.0,43.0,0.0,6.0,15.0,6.0,82.0,0.0,0.0,1.0,10242.0,1.0,24.0,50.0,5.0,74.0,16.0,2.0,78.0,97.0,5.0,14.0,11.0,1.0,10.0,5.0,15.0,6.0,0.0,1.0,3.0,3.0,16.0,98.0,2.0,15.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,48.0,1.0,40.0,8.0,24.0,67.0,36.0,2.0,12.0,6.0,2.0,33.0,7.0,13.0,10172.0,1.0,24.0,30.0,13.0,75.0,1.0,6.0,86.0,97.0,13.0,1.0,13.0,8.0,24.0,2.0,13.0,6.0,4.0,15.0,36.0,14.0,3.0,94.0,14.0,2.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,139.0,16.0,90.0,1.0,16.0,95.0,76.0,1.0,20.0,6.0,0.0,43.0,107.0,20.0,9969.0,1.0,22.0,42.0,17.0,75.0,5.0,8.0,82.0,97.0,19.0,9.0,17.0,2.0,18.0,4.0,16.0,6.0,148.0,21.0,50.0,17.0,10.0,90.0,1.0,10.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,127.0,9.0,80.0,21.0,5.0,76.0,43.0,21.0,1.0,24.0,26.0,19.0,30.0,5.0,9925.0,12.0,1.0,58.0,3.0,75.0,21.0,8.0,72.0,87.0,20.0,13.0,1.0,22.0,20.0,24.0,1.0,24.0,11.0,6.0,57.0,5.0,23.0,81.0,6.0,13.0,17414806.0,12866.0,12872.0,21320.0,12140.0
