country,jan_temp,feb_temp,mar_temp,apr_temp,may_temp,jun_temp,july_temp,aug_temp,sept_temp,oct_temp,nov_temp,dec_temp,annual_temp
Afghanistan,0.07305840378489999,2.1094062952200003,7.596974061669999,13.3702390832,18.2163096978,23.201315158899998,25.2585367034,23.766516697100002,19.0345745467,12.992646260199999,7.004094443189999,2.43351685072,12.921454517599999
Albania,2.02306663167,3.2180583325,6.035316655830001,9.9178665475,14.442750055,17.9277499525,20.5389165875,20.479666550799998,17.1590832867,12.2657750042,7.5758082266699995,3.65361667667,11.2698000667
Algeria,12.1224973127,14.790194738499999,17.9135027886,21.936381555900002,26.4140280119,30.796467893600003,32.538920615,31.974539108000002,28.824309196799998,23.3391225074,17.3089954445,12.9506361576,22.5757911398
Andorra,,,,,,,,,,,,,
Angola,22.582235579200002,22.6835360804,22.7841394497,22.353581721799998,20.7395745012,18.3733149304,17.946175492200002,19.9024663546,22.1875480733,23.1815985444,22.786151409000002,22.6108581974,21.5109326932
Antigua and Barbuda,,,,,,,,,,,,,
Argentina,20.803532888,19.8995225484,17.514634269800002,14.0462836302,10.6477315314,7.657255859279999,7.42139851507,9.015955085669999,11.5294759652,14.6746510547,17.5440322732,19.8281476016,14.21522492
Armenia,-8.66313076077,-6.65207690462,-0.566409997692,6.619723082309999,11.4323078308,15.5793845115,19.8193074746,19.284307626900002,14.970000121500002,7.92204614923,1.61872024615,-4.872553900000001,6.37436162538
Australia,27.784496033499998,27.229410299,25.3686966851,21.8747390172,17.8583049329,14.8329085106,13.9546771298,15.707861038299999,18.8907493915,22.457086207,25.1271163445,26.994100866500002,21.506676337800002
Austria,-3.51632820051,-1.98521283385,1.4183776802599999,5.50907103231,10.1180819615,13.2864179856,15.255666610999999,14.9790691223,12.092438453800002,7.55078970513,1.7336796659,-2.20982982564,6.18601274769
Azerbaijan,-0.200880674889,0.8037071211110001,4.970370438440001,11.6433644813,16.8014666667,21.7293554938,24.763133324200002,24.111133427600002,19.83175549,12.8817622131,7.32570667,2.03207668578,12.2243444651
Bahamas,21.64700063,21.8796666433,22.998666763299997,24.2079995467,25.7670001967,27.2343336767,27.947999956700002,27.98666636,27.67766698,26.4533335367,24.4409999833,22.52233378,25.06333351
Bahrain,,,,,,,,,,,,,
Bangladesh,18.634934756099998,21.016717372000002,25.4215869909,28.0238695978,28.446043552600003,28.4605869626,28.2966520474,28.391326241999998,28.355239120700002,27.165000044299997,23.6999999333,19.7381738991,25.4709130989
Barbados,,,,,,,,,,,,,
Belarus,-6.80383717681,-5.49525044681,-0.685781831681,6.9211858731,13.4366637122,16.5375574587,17.7205663192,16.952212443,12.421433591900001,6.903655752480001,1.21410080044,-3.5833637166400005,6.294930099119999
Belgium,1.9468641194099998,2.61548823471,5.22725293176,8.14548228765,12.3979999324,15.4345294171,17.2385293171,17.1832941847,14.4274116965,10.6783882024,5.7619705764699995,3.1139235570599997,9.51424127412
Belize,22.3721663167,23.0401665367,24.451166471700002,25.870666821700002,26.910166425,26.928833325,26.4478333783,26.6649999617,26.489166895,25.4190003083,23.5616668067,22.61716652,25.0643329617
Benin,26.5667367237,28.694210604699997,30.142920995300003,30.200368278899997,28.9347105026,27.1267106405,25.837842188899998,25.4443949158,25.8967630995,27.149736856300002,27.151710560300003,26.392894694699997,27.4615526705
Bhutan,0.557168582857,2.16520279357,5.67909995214,8.78262149429,11.5284497479,14.393150023599999,14.7976215557,14.5912145543,13.3540999886,9.69457354143,5.29007642714,2.06733584857,8.57504293
Bolivia,22.5665142629,22.4322341881,22.0717254101,20.998897820299998,19.2543421248,17.6462446767,17.7654416318,19.4334628706,21.3284560179,22.5058024967,22.9141718467,22.7832980519,20.975030036099998
Bosnia and Herzegovina,-1.355606165,0.402879991818,4.00575452,8.43685908818,12.9442864327,16.3330001836,18.5232726891,18.4773182445,14.944545398599999,9.95350001091,4.80560911773,0.7271272845450001,9.01653183545
Brazil,25.584511863899998,25.6507718396,25.4908531879,25.049293263699997,24.1903392392,23.29061903,23.243253609099998,24.2323512521,25.133880814,25.7262221473,25.739910860100004,25.657334989200002,24.9157718328
Brunei,25.342999455,25.47000027,25.92000008,26.45499992,26.5085001,26.25649929,26.03700066,26.081500055,26.046499255,25.92000008,25.478500365,25.694999695,25.934000015
Bulgaria,-1.18347596106,0.867380001277,4.69731487617,9.915993619570001,14.9944254898,18.6432767215,20.8474681123,20.4882765826,16.845936165999998,11.4825276726,5.95078083745,1.21184218574,10.396761640900001
Burkina Faso,25.004534921199998,27.8406045378,30.628627932199997,32.054732478000005,31.472476803699998,29.232941938000003,27.1148488023,26.363302274400002,26.971174505900002,28.705651128099998,27.473430300700002,25.2538720509,28.1763605071
Cabo Verde,,,,,,,,,,,,,
Cambodia,24.8658870581,26.5292741719,27.9267580892,28.9439354255,28.491532356599997,27.726177431,27.3485645168,27.2658710484,26.9603064442,26.597903313499998,25.815258087100002,24.8020644953,26.9395000398
Cameroon,23.8802380723,25.3597414704,26.274061176799997,26.432483063299998,25.520333296599997,24.336047658800002,23.365224448699998,23.291244961,23.7294829492,24.2834013335,24.2541497029,23.6080679603,24.527850390900003
Canada,-24.6221166323,-23.2535801315,-18.7166113398,-9.787480608760001,-0.286830762758,7.239879206839999,11.1066845021,9.51521801525,3.4539144108800004,-4.35855904507,-14.5026072333,-21.5228440954,-7.14457961345
Central African Republic,24.2810686339,26.014705844699996,26.9592205587,26.7582451407,25.882950969699998,24.649696060100002,23.769558822199997,23.7088333298,23.8431617792,24.308725459899996,24.2453186094,23.649553878600003,24.839254940300002
