country,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million
Denmark,2020-02-27 22:00:00,5792202.0,137,88%,80.0,2.61,6.7,16.5,63.8,19.7,0.97,2020-03-13 00:00:00,,347176.0
Diamond Princess,2020-03-25 22:00:00,,,,,,,,,,,,,
Djibouti,2020-03-18 22:00:00,988000.0,43,79%,,,,31.1,64.7,4.2,0.84,2020-03-20 00:00:00,,3166.0
Dominica,2020-03-22 22:00:00,71986.0,96,74%,,,,,,,1.02,2020-03-23 00:00:00,,593.0
Dominican Republic,2020-03-01 22:00:00,10847910.0,225,85%,54.67,,,29.3,63.7,7.0,1.03,2020-03-19 00:00:00,,89475.0
Ecuador,2020-03-01 22:00:00,17643054.0,71,63%,70.59,,,28.4,64.5,7.1,0.99,2020-03-12 00:00:00,5365261.0,107914.0
Egypt,2020-02-14 22:00:00,102334404.0,103,43%,45.84,,,33.5,61.4,5.2,1.05,2020-03-16 00:00:00,,302256.0
El Salvador,2020-03-19 22:00:00,6486205.0,313,73%,,,,27.4,64.4,8.3,0.93,2020-03-11 00:00:00,2545105.0,26871.0
Equatorial Guinea,2020-03-15 22:00:00,1402985.0,50,73%,,,,37.2,60.0,2.8,0.99,2020-03-16 00:00:00,466435.1,12142.0
Eritrea,2020-03-21 22:00:00,3546421.0,35,63%,,,,41.8,54.6,3.6,0.97,2020-03-27 00:00:00,102729.0,2110.0
Estonia,2020-02-27 22:00:00,1326535.0,31,68%,72.67,4.69,14.6,16.4,64.2,19.5,0.88,2020-03-16 00:00:00,31981.0,31038.0
Eswatini,2020-03-14 22:00:00,1160164.0,67,30%,,,,,,,,2020-03-19 00:00:00,,4657.0
Ethiopia,2020-03-13 22:00:00,114963588.0,115,21%,,,,40.6,55.9,3.5,0.99,2020-03-16 00:00:00,11501244.0,91166.0
Fiji,2020-03-19 22:00:00,896445.0,49,59%,,,,28.5,65.3,6.2,1.03,2020-03-20 00:00:00,1670216.0,5708.0
Finland,2020-01-29 21:00:00,5540720.0,18,86%,75.79,3.28,6.1,16.4,62.4,21.2,0.97,2020-03-18 00:00:00,13364839.0,269654.0
France,2020-01-24 12:00:00,65273511.0,119,82%,79.99,5.98,11.6,18.1,62.2,19.7,0.96,2020-03-03 00:00:00,70188028.0,2707074.0
Gabon,2020-03-14 22:00:00,2225734.0,9,87%,,,,35.9,59.6,4.5,0.99,2020-03-16 00:00:00,,16877.0
Gambia,2020-03-22 22:00:00,2416668.0,239,59%,,,,45.3,52.3,2.3,,2020-03-18 00:00:00,,1773.0
