Date,Date,Confirmed,Deaths,Recovered,start_date,lockdown_severity,leasure_shopping_prohibited,maximum_together,mentality_grade,government_performance,kindergarten_open_to_vital,highschool_open_to_vital,university_open_to_vital,going_out_for_dinner_prohibited_all,grocery_shopping_(supermarket)_prohibited_all,leaving_the_house_for_no_reason_prohibited_all,leisure_activities_like_cinemas_and_theatres_prohibited_all,ordering_food_prohibited_all,public_transportation_prohibited_all,sports_games_prohibited_all,hospital_open_to_vital,none_open_to_vital,none__open_to_vital,_closed_to_everyone,bars_closed_to_everyone,highschool_closed_to_everyone,kindergarten_closed_to_everyone,restaurants_closed_to_everyone,shops_other_than_supermarkets_closed_to_everyone,university_closed_to_everyone,protection_Not at all,protection_Only for any healthcare worker,protection_Only for hospital staff,protection_Sufficient for everyone,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million,jan_temp,feb_temp,mar_temp,apr_temp,may_temp,jun_temp,july_temp,aug_temp,sept_temp,oct_temp,nov_temp,dec_temp,annual_temp,Month
2020-02-07,2020-02-07,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-08,2020-02-08,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-09,2020-02-09,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-10,2020-02-10,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-11,2020-02-11,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-12,2020-02-12,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-13,2020-02-13,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-14,2020-02-14,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-15,2020-02-15,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-16,2020-02-16,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-17,2020-02-17,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-18,2020-02-18,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-19,2020-02-19,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-20,2020-02-20,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-21,2020-02-21,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-22,2020-02-22,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-23,2020-02-23,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-24,2020-02-24,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-25,2020-02-25,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-26,2020-02-26,0,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-27,2020-02-27,1,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-28,2020-02-28,1,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-02-29,2020-02-29,6,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,200
2020-03-01,2020-03-01,10,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-02,2020-03-02,18,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-03,2020-03-03,24,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-04,2020-03-04,38,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-05,2020-03-05,82,0,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-06,2020-03-06,128,1,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-07,2020-03-07,188,1,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-08,2020-03-08,265,3,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
2020-03-09,2020-03-09,321,3,0,2020-03-23,5.0,0,3.0,7.0,8.0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2020-02-27 22:00:00,17134872.0,508,92%,74.65,3.32,6.4,16.4,64.8,18.8,0.98,2020-03-16 00:00:00,43996045.0,902355.0,1.99377499625,2.373549975,4.94500624938,7.5629125525,11.9835625294,14.721874953099999,16.5509375331,16.6398750544,13.895624995599999,10.3473501212,5.9162374725,3.49061252188,9.2017376425,300
